output/relaxation/relaxation_2017-11-07T15:58:08.532
FILTERING RESULT
.................................................................
cut = cut use in the model
n = name
mCp = Cp Makespan
diCP = Cp domains Initial Size
drCP = Cp domains Reduced Size
zLP = Lp objective
zMP = Mips objective
dbLP = Lp domais Reduced size, edge only
drMP = Mips domains Reduced Size, edge only
drLP = Lp domains Reduced Size
arc = arc coherence domains Reduction

.................................................................
[   cut,          n,  mCp, diCP, drCP,  zLP,  zMP, dbLP, drMp, drLP,  arc]
[      ,  cut_1.txt,    0,    6,    0,    1,    1,    0,    0,    0,    0]
[     A,  cut_1.txt,    0,    6,    0,    1,    1,    0,    0,    0,    0]
[     B,  cut_1.txt,    0,    6,    0,    1,    1,    0,    0,    0,    0]
[    AB,  cut_1.txt,    0,    6,    0,    1,    1,    0,    0,    0,    0]
[      ,  cut_2.txt,    4,    8,    6,    0,    0,    6,    6,    4,    4]
[     A,  cut_2.txt,    4,    8,    6,    0,    0,    6,    6,    4,    4]
[     B,  cut_2.txt,    4,    8,    6,    0,    0,    6,    6,    4,    4]
[    AB,  cut_2.txt,    4,    8,    6,    0,    0,    6,    6,    4,    4]
[      ,  cut_3.txt,    5,   12,    7,    0,    0,    7,    7,    5,    5]
[     A,  cut_3.txt,    5,   12,    7,    0,    0,    7,    7,    5,    5]
[     B,  cut_3.txt,    5,   12,    7,    0,    0,    7,    7,    5,    5]
[    AB,  cut_3.txt,    5,   12,    7,    0,    0,    7,    7,    5,    5]
[      ,  cut_4.txt,    0,    3,    0,    1,    1,    0,    0,    0,    0]
[     A,  cut_4.txt,    0,    3,    0,    1,    1,    0,    0,    0,    0]
[     B,  cut_4.txt,    0,    3,    0,    1,    1,    0,    0,    0,    0]
[    AB,  cut_4.txt,    0,    3,    0,    1,    1,    0,    0,    0,    0]
[      ,  cut_5.txt,    2,    4,    4,    0,    0,    4,    4,    4,    4]
[     A,  cut_5.txt,    2,    4,    4,    0,    0,    4,    4,    4,    4]
[     B,  cut_5.txt,    2,    4,    4,    0,    0,    4,    4,    4,    4]
[    AB,  cut_5.txt,    2,    4,    4,    0,    0,    4,    4,    4,    4]
[      ,  cut_6.txt,    5,   11,    7,    0,    0,    7,    7,    5,    5]
[     A,  cut_6.txt,    5,   11,    7,    0,    0,    7,    7,    5,    5]
[     B,  cut_6.txt,    5,   11,    7,    0,    0,    7,    7,    5,    5]
[    AB,  cut_6.txt,    5,   11,    7,    0,    0,    7,    7,    5,    5]
[      ,  cut_7.txt,    2,    2,    1,    0,    0,    1,    1,    1,    1]
[     A,  cut_7.txt,    2,    2,    1,    0,    0,    1,    1,    1,    1]
[     B,  cut_7.txt,    2,    2,    1,    0,    0,    1,    1,    1,    1]
[    AB,  cut_7.txt,    2,    2,    1,    0,    0,    1,    1,    1,    1]
[      , report_1.t,    0,    4,    0,    1,    1,    0,    0,    0,    0]
[     A, report_1.t,    0,    4,    0,    1,    1,    0,    0,    0,    0]
[     B, report_1.t,    0,    4,    0,    1,    1,    0,    0,    0,    0]
